index	actual_p	real_lower_num	real_upper_num	imag_lower_num	imag_upper_num	denominator	cell_status	strict_margin_num
0	-4294967296	-115792089237316195423570985008687907853269984665640564039457584007913129639936	-115792089237316195423570985008687907853269984665640564039457584007913129639936	0	0	26959946667150639794667015087019630673637144422540572481103610249216	CERTIFIED	13479973333575319897333507543509815336818572211270286240551805124608
1	-1173980677	-31650456443120304708099954216216192491719302455226685407604597631143292960768	-31650456443120304708099954216216192491719302453566762557427813355037929766912	-830116167593302810587043987456	829458511947432452316003827712	26959946667150639794667015087019630673637144422540572481103610249216	CERTIFIED	10545070392601689042545834982317013743112842144999274676927250563072
2	74394577	2005673835276679891801304356037694901461833346203963726041211239753339371520	2005673835276679891801304356037694901461833347033190124231277683267799613440	-414516485029464051423253626880	414129628767187370087347650560	26959946667150639794667015087019630673637144422540572481103610249216	CERTIFIED	6448525084577634984547256256709442400588197242108552134947294412800
3	-1088591353	-29348364813114883351315921948475802894939066136572037147932081736797248290816	-29348364813114883351315921948475802894939066134456281563914683842593873199104	-1058245305457861794370798223360	1056852622913665741561536708608	26959946667150639794667015087019630673637144422540572481103610249216	CERTIFIED	7393501055999033707759197945873920993285008280585824068766965694464
4	-1139492935	-30720668760620082008990171069564045662011788926328312165192813744471201021952	-30720668760620082008990171069564045662011788925913602252032211352379994406912	-208438154114675903786140041216	206735986560658505908153745408	26959946667150639794667015087019630673637144422540572481103610249216	CERTIFIED	8054841951338063196966741240416843233549897139150457378055825391616
5	-1138696039	-30699184485459786466029890264150208916389219501782951445938144341333815328768	-30699184485459786466029890264150208916389219499392992143219034716240284221440	-1195617964192311336751010414592	1194302652900570620208930095104	26959946667150639794667015087019630673637144422540572481103610249216	CERTIFIED	9555871818048533036725792390434113912253512966357225238600051851264
6	737767921	19890183802848666723511185681156052355673349629065868667994431458219535630336	19890183802848666723511185681156052355673349630124694257845708274594192818176	-529528851804321412588100386816	529103309915817063118603812864	26959946667150639794667015087019630673637144422540572481103610249216	CERTIFIED	13434033541955154970463452890906059416889937181731095379612960555008
7	887197270	23918791084191650897037476572622665014414277550974573598568424318695609729024	23918791084191650897037476572622665014414277553376370702913200392667863711744	-1200414981844542185316244520960	1201614236257599897457553047552	26959946667150639794667015087019630673637144422540572481103610249216	CERTIFIED	11729968741119779668963471299154673285715923877829335448132396253184
8	-86094968021321647735339385	-2321115746164871470101906281266925029286525771922740017696147686579286355483394632278358360064	-2321115746164871470101906281266925029286525771922740017696136863152189379055133740054985310208	-5413258865170691447876454904233984	5410002270469220116722664804974592	26959946667150639794667015087019630673637144422540572481103610249216	CERTIFIED	6166914369703478519249176694220866001777179454836910068963636936704
9	466963	12589288721098193768937701571835361608437155956274764330940098618232668160	12589288721098193768937701571835361608437158512891744838844043220058374144	-1276741722391731412890493648896	1280958455650547239451868790784	26959946667150639794667015087019630673637144422540572481103610249216	CERTIFIED	4625538863133820505539262957319998870903864162253732754017233141760
10	77402511	2086767568206397245358787118490840960775215592155062947540574375102916853760	2086767568206397245358787118490840960775215593351067767995162393189833244672	-596996583945374637570102657024	598544008994481362913726562304	26959946667150639794667015087019630673637144422540572481103610249216	CERTIFIED	13222829843570355639214145583852894447799349849395941131200067796992
11	-1088514392	-29346289942662080631602828327637120553518299044662922555101078412764915957760	-29346289942662080631602828327637120553518299041779102547959557394253815480320	-1442509630777289365326204502016	1440652720718361294913855815680	26959946667150639794667015087019630673637144422540572481103610249216	CERTIFIED	1396148916675177455068627722249427688879732409629415835375297888256
